nombre,categoria_nombre,subcategoria,stock,precio,fabricante,imagen_url,descripcion,descripcion_larga,activo
"Acoplamientos de brida Tru-Line RFK","transmision","Acoples","0","","","https://zituwbdogothhmsudgcr.supabase.co/storage/v1/object/public/product-images/products/transmision/acoples/1782230858502-acoplamientos-de-brida-tru-line-rfk.webp","","","Sí"
"Acoplamientos de engranajes","transmision","Acoples","0","","","https://zituwbdogothhmsudgcr.supabase.co/storage/v1/object/public/product-images/products/transmision/acoples/1782230859216-acoplamientos-de-engranajes.webp","","","Sí"
"Correa Sincrónicas","transmision","Correas","0","","","https://zituwbdogothhmsudgcr.supabase.co/storage/v1/object/public/product-images/products/transmision/correas/1782230859475-correa-sincronicas.webp","","","Sí"
"Correas Agricolas","transmision","Correas","0","","","https://zituwbdogothhmsudgcr.supabase.co/storage/v1/object/public/product-images/products/transmision/correas/1782230859870-correas-agricolas.webp","","","Sí"
"Correas Dentadas Multicanal","transmision","Correas","0","","","https://zituwbdogothhmsudgcr.supabase.co/storage/v1/object/public/product-images/products/transmision/correas/1782230860111-correas-dentadas-multicanal.webp","","","Sí"
"Correas Dentadas","transmision","Correas","0","","","https://zituwbdogothhmsudgcr.supabase.co/storage/v1/object/public/product-images/products/transmision/correas/1782230860496-correas-dentadas.webp","","","Sí"
"Correas Multicanal","transmision","Correas","0","","","https://zituwbdogothhmsudgcr.supabase.co/storage/v1/object/public/product-images/products/transmision/correas/1782230860766-correas-multicanal.webp","","","Sí"
"Manguitos de Fijación","transmision","Manguitos de Fijación","0","","","https://zituwbdogothhmsudgcr.supabase.co/storage/v1/object/public/product-images/products/transmision/manguitos-de-fijacion/1782230861002-4873821798.webp","","","Sí"
"Poleas","transmision","Poleas","0","","","https://zituwbdogothhmsudgcr.supabase.co/storage/v1/object/public/product-images/products/transmision/poleas/1782230861231-6gvqcwriam.webp","","","Sí"
"Poleas","transmision","Poleas","0","","","https://zituwbdogothhmsudgcr.supabase.co/storage/v1/object/public/product-images/products/transmision/poleas/1782230861442-s1wvddwhq6.webp","","","Sí"
"Calentador de inducción pequeño","herramientas","Calentadores","0","","","https://zituwbdogothhmsudgcr.supabase.co/storage/v1/object/public/product-images/products/herramientas/calentadores/1782230862023-calentador-de-induccion-pequeno.webp","","","Sí"
"Calentador de inducción portátil","herramientas","Calentadores","0","","","https://zituwbdogothhmsudgcr.supabase.co/storage/v1/object/public/product-images/products/herramientas/calentadores/1782230862288-calentador-de-induccion-portatil.webp","","","Sí"
"Calentadores de Inducción - Rodamientos","herramientas","Calentadores","0","","","https://zituwbdogothhmsudgcr.supabase.co/storage/v1/object/public/product-images/products/herramientas/calentadores/1782230862502-calentadores-de-induccion-rodamientos.webp","","","Sí"
"Conjuntos de extractores de garras hidráulicos EasyPull","herramientas","Extractores","0","","","https://zituwbdogothhmsudgcr.supabase.co/storage/v1/object/public/product-images/products/herramientas/extractores/1782230862743-conjuntos-de-extractores-de-garras-hidraulicos-easypull.webp","","","Sí"
"Extractores Hidráulicos para Rodamientos","herramientas","Extractores","0","","","https://zituwbdogothhmsudgcr.supabase.co/storage/v1/object/public/product-images/products/herramientas/extractores/1782230862982-extractores-hidraulicos-para-rodamientos.webp","","","Sí"
"Extractores Mecánicos para Rodamientos","herramientas","Extractores","0","","","https://zituwbdogothhmsudgcr.supabase.co/storage/v1/object/public/product-images/products/herramientas/extractores/1782230863227-extractores-mecanicos-para-rodamientos.webp","","","Sí"
"Kits","herramientas","Kits","0","","","https://zituwbdogothhmsudgcr.supabase.co/storage/v1/object/public/product-images/products/herramientas/kits/1782230863431-3fbzbupvts1.webp","","","Sí"
"Kits","herramientas","Kits","0","","","https://zituwbdogothhmsudgcr.supabase.co/storage/v1/object/public/product-images/products/herramientas/kits/1782230863626-d8dubs9n1y.webp","","","Sí"
"R7324791-01","herramientas","Kits","0","","","https://zituwbdogothhmsudgcr.supabase.co/storage/v1/object/public/product-images/products/herramientas/kits/1782230863898-r7324791-01.webp","","","Sí"
"Lubricación","herramientas","Lubricación","0","","","https://zituwbdogothhmsudgcr.supabase.co/storage/v1/object/public/product-images/products/herramientas/lubricacion/1782230864111-0901d196809a8770pnghighpreview-400x400.webp","","","Sí"
"Lubricación","herramientas","Lubricación","0","","","https://zituwbdogothhmsudgcr.supabase.co/storage/v1/object/public/product-images/products/herramientas/lubricacion/1782230864426-afb1b109066-b43b-485c-a337-eb87b4cfbe5c.webp","","","Sí"
"Bomba de Agua","automotriz","","0","","","https://zituwbdogothhmsudgcr.supabase.co/storage/v1/object/public/product-images/products/automotriz/bomba-de-agua/1782230864738-bomba-de-agua.webp","","","Sí"
"Correa Poly V","automotriz","","0","","","https://zituwbdogothhmsudgcr.supabase.co/storage/v1/object/public/product-images/products/automotriz/correa-poly-v/1782230864970-correa-poly-v.webp","","","Sí"
"Kit de Distribución","automotriz","","0","","","https://zituwbdogothhmsudgcr.supabase.co/storage/v1/object/public/product-images/products/automotriz/kit-de-distribucion/1782230865250-kit-de-distribucion.webp","","","Sí"
